年度,カテゴリ,薬効分類,薬効分類名,グループ,個数（薬剤種類数）,数量合計
FY2022,注射_外来院外,422,代謝拮抗剤,2019年非存在（新規）,1,0
FY2022,注射_外来院外,423,抗腫瘍性抗生物質製剤,2019年存在,1,0
FY2022,注射_外来院外,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,1,0
FY2022,注射_外来院外,424,抗腫瘍性植物成分製剤,2019年存在,0,0
FY2022,注射_外来院外,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,0,0
FY2022,注射_外来院外,429,その他の腫瘍用薬,2019年存在,3,0
FY2022,注射_外来院外,429,その他の腫瘍用薬,2019年非存在（新規）,0,0
FY2023,内服_外来院内,421,アルキル化剤,2019年存在,9,467470.234
FY2023,内服_外来院内,421,アルキル化剤,2019年非存在（新規）,0,0
FY2023,内服_外来院内,422,代謝拮抗剤,2019年存在,33,17192164.98
FY2023,内服_外来院内,422,代謝拮抗剤,2019年非存在（新規）,1,0
FY2023,内服_外来院内,423,抗腫瘍性抗生物質製剤,2019年存在,0,0
FY2023,内服_外来院内,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,0,0
FY2023,内服_外来院内,424,抗腫瘍性植物成分製剤,2019年存在,4,23259
FY2023,内服_外来院内,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,0,0
FY2023,内服_外来院内,429,その他の腫瘍用薬,2019年存在,78,53303976.52
FY2023,内服_外来院内,429,その他の腫瘍用薬,2019年非存在（新規）,22,5547596.044
FY2023,内服_外来院外,421,アルキル化剤,2019年存在,9,2085328.715
FY2023,内服_外来院外,421,アルキル化剤,2019年非存在（新規）,0,0
FY2023,内服_外来院外,422,代謝拮抗剤,2019年存在,38,91459840.37
FY2023,内服_外来院外,422,代謝拮抗剤,2019年非存在（新規）,1,0
FY2023,内服_外来院外,423,抗腫瘍性抗生物質製剤,2019年存在,0,0
FY2023,内服_外来院外,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,0,0
FY2023,内服_外来院外,424,抗腫瘍性植物成分製剤,2019年存在,4,131379
FY2023,内服_外来院外,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,0,0
FY2023,内服_外来院外,429,その他の腫瘍用薬,2019年存在,80,280155093.5
FY2023,内服_外来院外,429,その他の腫瘍用薬,2019年非存在（新規）,20,27735324.9
FY2023,注射_外来院内,421,アルキル化剤,2019年存在,12,406511.5202
FY2023,注射_外来院内,421,アルキル化剤,2019年非存在（新規）,5,62025.008
FY2023,注射_外来院内,422,代謝拮抗剤,2019年存在,33,3723795.072
FY2023,注射_外来院内,422,代謝拮抗剤,2019年非存在（新規）,27,167071.6445
FY2023,注射_外来院内,423,抗腫瘍性抗生物質製剤,2019年存在,33,678945.788
FY2023,注射_外来院内,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,3,0
FY2023,注射_外来院内,424,抗腫瘍性植物成分製剤,2019年存在,68,2802857.681
FY2023,注射_外来院内,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,14,385854.2619
FY2023,注射_外来院内,429,その他の腫瘍用薬,2019年存在,74,6733545.652
FY2023,注射_外来院内,429,その他の腫瘍用薬,2019年非存在（新規）,26,1535937.274
FY2023,注射_外来院外,421,アルキル化剤,2019年存在,0,0
FY2023,注射_外来院外,421,アルキル化剤,2019年非存在（新規）,0,0
FY2023,注射_外来院外,422,代謝拮抗剤,2019年存在,0,0
FY2023,注射_外来院外,422,代謝拮抗剤,2019年非存在（新規）,2,0
FY2023,注射_外来院外,423,抗腫瘍性抗生物質製剤,2019年存在,1,0
FY2023,注射_外来院外,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,0,0
